Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Yield to Maturity,Option Adjusted Spread,Amount Outstanding,Parent Domicile,Sector,Rating,Actual,Outlook,Watch,Scope
Lehman Brothers Holdings PLC,LEHRG,4.9680,1/11/2011,1/11/2001,XS0138439616,Euro,Eurobond,Corporate,Note,Fixed Margin over Index,"107,199,519",High Yield,--,--,"55,156,500",United Kingdom,Financial - Other,WD,Actual,,,Foreign
Resolute FP US Inc,RFPRS,9.5000,14/10/2012,1/11/1992,US102183AG54,US Dollar,United States,Corporate,Debenture,Plain Vanilla Fixed Coupon,"125,000,000",High Yield,--,--,"125,000,000",Canada,Conglomerate/Diversified Mfg,WD,Actual,,,Foreign
American Airlines Inc,AALXAA,10.5000,14/10/2012,11/10/2010,US023771R679,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"450,000,000",High Yield,--,--,"450,000,000",United States,Airline,B-,Actual,Rating Outlook Positive,,Foreign
Glitnir HoldCo ehf,GLIRH,11.4410,28/02/2013,8/03/1998,XS0085020302,Icelandic Krona,Eurobond,Corporate,Note,Other / Complex Floating Rate,"10,452,233",Investment Grade,--,--,"1,500,000,000",Iceland,Banking,WD,Actual,,,Foreign
Grupo Mexico SAB de CV,GMEXX,7.8750,14/04/2013,20/04/1993,US043413AE39,US Dollar,United States,Corporate,Debenture,Plain Vanilla Fixed Coupon,"100,000,000",High Yield,--,--,"100,000,000",Mexico,Railroads,BBB+,Actual,Rating Outlook Stable,,Foreign
United Airlines Inc,UALUA,9.0800,25/10/2015,20/07/1992,US909285AB47,US Dollar,United States,Corporate,Certificate,Plain Vanilla Fixed Coupon,"121,532,000",High Yield,--,--,"121,532,000",United States,Airline,B+,Actual,Rating Outlook Negative,,Foreign
LBI ehf,LBI,2.7830,16/11/2016,16/11/2004,XS0205978793,Swedish Krona,Eurobond,Corporate,Note,Other / Complex Floating Rate,"48,200,669",Investment Grade,--,--,"500,000,000",Iceland,Banking,WD,Actual,,,Foreign
Lehman Brothers Inc,LEHMB,0.0000,14/05/2017,10/07/1997,US76126CBC55,US Dollar,United States,Corporate,Certificate,Zero Coupon,"100,000,000",Investment Grade,--,--,"100,000,000",United States,Securities,WD,Actual,,,Foreign
Mezhdunarodnyi Promyshlennyi Bank ZAO,MZPYB,0.0000,2/01/2018,26/12/2007,RU000A0JPK81,Russian Ruble,Russia,Corporate,Bond,Step Up / Step Down,"88,105,726",High Yield,--,--,"3,000,000,000",Russia,Banking,WD,Actual,,,Foreign
Lyondell Chemical Co,LYBLC,9.8000,31/01/2020,5/02/1990,US001920AB36,US Dollar,United States,Corporate,Debenture,Plain Vanilla Fixed Coupon,"225,000,000",High Yield,--,--,"224,000,000",United Kingdom,Chemicals,WD,Actual,,,Foreign
Resolute FP US Inc,RFPRS,9.3750,14/12/2021,18/12/1991,US102183AE07,US Dollar,United States,Corporate,Debenture,Plain Vanilla Fixed Coupon,"200,000,000",High Yield,--,--,"200,000,000",Canada,Conglomerate/Diversified Mfg,WD,Actual,,,Foreign
Jingrui Holdings Ltd,JINGR,12.0000,24/07/2022,24/07/2019,XS2016006699,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"260,000,000",High Yield,--,--,"260,000,000",China (Mainland),Service - Other,WD,Actual,,,Foreign
Sunac China Holdings Ltd,SUNAC,7.9500,7/08/2022,7/08/2017,XS1594400449,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"600,000,000",High Yield,--,--,"600,000,000",,Service - Other,WD,Actual,,,Foreign
Jingrui Holdings Ltd,JINGR,12.0000,25/09/2022,25/06/2020,XS2190379961,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"150,000,000",High Yield,--,--,"150,000,000",China (Mainland),Service - Other,WD,Actual,,,Foreign
Redsun Properties Group Ltd,RSUPT,10.5000,2/10/2022,2/07/2019,XS2009857884,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"250,000,000",High Yield,--,--,"250,000,000",,Service - Other,WD,Actual,,,Foreign
Kaisa Group Holdings Ltd,KAISA,11.9500,21/10/2022,21/10/2019,US48300TAD46,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"600,000,000",High Yield,--,--,"600,000,000",China (Mainland),Service - Other,WD,Actual,,,Foreign
Kaisa Group Holdings Ltd,KAISA,11.9500,21/10/2022,21/10/2019,USG52132BW96,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"600,000,000",High Yield,--,--,"600,000,000",China (Mainland),Service - Other,WD,Actual,,,Foreign
Kaisa Group Holdings Ltd,KAISA,11.5000,29/01/2023,29/05/2019,XS2002235518,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"700,000,000",High Yield,--,--,"700,000,000",China (Mainland),Service - Other,WD,Actual,,,Foreign
National Rural Utilities Cooperative Finance Corp,NRUC,4.7089,15/02/2023,15/02/2021,US63743HEV06,US Dollar,United States,Corporate,Note,Fixed Margin over Index,"250,000,000",Investment Grade,4.9336520,--,"250,000,000",United States,Financial - Other,A,Actual,Rating Outlook Stable,,Foreign
Banque Federative du Credit Mutuel SA,CAFDDC,1.6140,16/02/2023,16/02/2011,XS0592229701,Euro,Eurobond,Corporate,Note,Fixed Margin over Index,"396,638,223",Investment Grade,1.6010800,--,"370,000,000",France,Banking,A+,Actual,Rating Outlook Stable,,Foreign
CEZ as,CEZP,2.1600,16/02/2023,16/02/2011,XS0592280217,Japanese Yen,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"86,858,006",Investment Grade,1.7808560,188.8,"11,500,000,000",Czech Republic,Utility - Other,WD,Actual,,,Foreign
Verizon Communications Inc,VZ,4.2633,16/02/2023,16/08/2017,AU3FN0037495,Australian Dollar,Australia,Corporate,Note,Fixed Margin over Index,"348,250,043",Investment Grade,4.2390000,--,"500,000,000",United States,Telecommunications,A-,Actual,Rating Outlook Stable,,Foreign
Verizon Communications Inc,VZ,3.5000,16/02/2023,16/08/2017,AU3CB0246213,Australian Dollar,Australia,Corporate,Note,Plain Vanilla Fixed Coupon,"383,075,047",Investment Grade,3.6524500,-2.6,"550,000,000",United States,Telecommunications,A-,Actual,Rating Outlook Stable,,Foreign
Ford Motor Credit Company LLC,FMCRT,1.5140,16/02/2023,16/06/2019,XS2013574202,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,071,995,197",High Yield,5.4473520,290.0,"1,000,000,000",United States,Financial - Other,BB+,Actual,Rating Outlook Positive,,Foreign
Toyota Finance Australia Ltd,TOYFA,1.3000,16/02/2023,16/02/2020,AU3CB0270494,Australian Dollar,Australia,Corporate,Note,Plain Vanilla Fixed Coupon,"278,600,034",Investment Grade,3.6524500,-2.6,"400,000,000",Japan,Financial - Other,A+,Actual,Rating Outlook Stable,,Foreign
Enbridge Inc,ENB,4.5973,16/02/2023,18/02/2021,US29250NBD66,US Dollar,United States,Corporate,Note,Fixed Margin over Index,"500,000,000",Investment Grade,5.0538450,--,"500,000,000",Canada,Gas Utility - Pipelines,BBB+,Actual,Rating Outlook Stable,,Foreign
Bank of Nova Scotia,BNS,0.5540,16/02/2023,19/01/2022,XS2434763137,Hong Kong Dollar,Eurobond,Corporate,Note,Pay at Maturity Fixed,"31,847,945",Investment Grade,--,--,"250,000,000",Canada,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Barclays Bank PLC,BARCR,0.0000,17/02/2023,17/02/2013,XS0867776907,Chinese Yuan,Eurobond,Corporate,Note,Zero Coupon,"14,753,179",Investment Grade,--,--,"100,000,000",United Kingdom,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Jiayuan International Group Ltd,JYARL,13.7500,17/02/2023,17/10/2019,XS2066357034,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"327,500,000",High Yield,"162,000.0000000",--,"175,715,000",,Industrials - Other,WD,Actual,,,Foreign
First Abu Dhabi Bank PJSC,FAB,1.3750,18/02/2023,18/02/2020,XS2118502991,British Pound,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"546,076,741",Investment Grade,9.8855430,356.6,"450,000,000",United Arab Emirates,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Vodafone Group PLC,VOD,2.9500,18/02/2023,18/02/2013,US92857WBC38,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,600,000,000",Investment Grade,17.7152000,632.1,"623,990,000",United Kingdom,Telecommunications,BBB,Actual,Rating Outlook Stable,,Foreign
Banco de Bogota SA,BBO,5.3750,18/02/2023,18/02/2013,US059514AB51,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",High Yield,27.0309290,"1,238.0","500,000,000",Colombia,Banking,BB+,Actual,Rating Outlook Stable,,Foreign
Banco de Bogota SA,BBO,5.3750,18/02/2023,18/02/2013,USP09252AC47,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",High Yield,27.0309290,"1,237.1","500,000,000",Colombia,Banking,BB+,Actual,Rating Outlook Stable,,Foreign
Jingrui Holdings Ltd,JINGR,14.5000,18/02/2023,18/11/2020,XS2242906597,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"350,000,000",High Yield,"129,176.4705880",--,"350,000,000",China (Mainland),Service - Other,WD,Actual,,,Foreign
American Honda Finance Corp,HONDFA,2.2250,19/02/2023,19/02/2008,XS0346203341,Japanese Yen,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"22,658,610",Investment Grade,0.4157760,55.3,"3,000,000,000",Japan,Leasing,A,Actual,Rating Outlook Stable,,Foreign
Yapi ve Kredi Bankasi AS,YKBNK,14.5300,19/02/2023,19/02/2018,XS1760060563,Turkish Lira,Eurobond,Corporate,Covered Bond (Other),Plain Vanilla Fixed Coupon,"12,170,627",High Yield,--,--,"229,050,000",Turkey,Banking,B-,Actual,Rating Outlook Negative,,Foreign
Westpac New Zealand Ltd,WBCNZ,4.9300,19/02/2023,19/02/2020,NZWNZD0223L6,New Zealand Dollar,New Zealand,Corporate,Note,Fixed Margin over Index,"126,980,095",Investment Grade,4.7000000,--,"200,000,000",Australia,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Bristol-Myers Squibb Co,BMY,3.2500,19/02/2023,16/07/2020,US110122CZ98,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"924,851,000",Investment Grade,5.2911780,-40.9,"889,851,000",United States,Pharmaceuticals,WD,Actual,,,Foreign
mBank Hipoteczny SA,MBKXH,8.2300,19/02/2023,3/08/2014,PLRHNHP00409,Polish Zloty,Poland,Corporate,Covered Bond (Other),Fixed Margin over Index,"44,847,071",Investment Grade,7.5950390,--,"200,000,000",Germany,Banking,WD,Actual,,,Foreign
Agrarnaya Kreditnaya Korporatsiya AO,KAGROO,8.5000,19/02/2023,29/12/2014,KZ2C00002731,Kazakhstani Tenge,Kazakhstan,Corporate,Bond,Plain Vanilla Fixed Coupon,"22,122,425",Investment Grade,--,--,"10,000,000,000",Kazakhstan,Banking,BBB-,Actual,Rating Outlook Stable,,Foreign
TenneT Holding BV,TNETH,4.6250,20/02/2023,20/02/2011,XS0593606121,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.7945640,120.7,"500,000,000",Netherlands,Utility - Other,WD,Actual,,,Foreign
Australia and New Zealand Banking Group Ltd,ANZ,0.6250,20/02/2023,20/02/2018,XS1774629346,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"803,996,398",Investment Grade,4.1056620,147.3,"750,000,000",Australia,Banking,A+,Actual,Rating Outlook Stable,,Foreign
General Motors Financial Company Inc,GMGENG,3.8500,20/02/2023,20/02/2019,AU3CB0261006,Australian Dollar,Australia,Corporate,Note,Plain Vanilla Fixed Coupon,"278,600,034",Investment Grade,3.9470000,27.4,"400,000,000",United States,Financial - Other,BBB-,Actual,Rating Outlook Positive,,Foreign
Barclays Bank PLC,BARCR,0.0000,20/02/2023,25/08/2021,XS2300767824,Japanese Yen,Eurobond,Corporate,Note,Zero Coupon,"830,815,709",Investment Grade,0.5760460,72.4,"110,000,000,000",United Kingdom,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Amazon.com Inc,AMZN,2.4000,21/02/2023,7/06/2018,US023135AW69,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,3.5297430,-113.9,"1,000,000,000",United States,Retail Stores - Other,AA-,Actual,Rating Outlook Stable,,Foreign
American Honda Finance Corp,HONDFA,4.8149,21/02/2023,21/02/2021,US02665WDV00,US Dollar,United States,Corporate,Note,Fixed Margin over Index,"500,000,000",Investment Grade,4.8286560,--,"500,000,000",Japan,Leasing,A,Actual,Rating Outlook Stable,,Foreign
Norddeutsche Landesbank Girozentrale,NORDL,0.2500,21/02/2023,21/02/2016,DE000DHY4614,Euro,Germany,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"803,996,398",Investment Grade,2.6778200,7.2,"750,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Stadshypotek AB,SHBST,0.3750,21/02/2023,21/02/2016,XS1368543135,Euro,Sweden,Corporate,Sakerstallda Obligation (Covered Bond),Plain Vanilla Fixed Coupon,"1,339,993,996",Investment Grade,2.5564910,-8.2,"1,250,000,000",Sweden,Mortgage Banking,AA,Actual,Rating Outlook Stable,,Foreign
Nordea Bank Abp,NDAFI,1.0000,21/02/2023,21/02/2016,XS1368470156,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,339,993,996",Investment Grade,2.7983160,19.4,"1,250,000,000",Finland,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Berlin Hyp AG,LKBFR,0.2500,21/02/2023,21/02/2016,DE000BHY0BC4,Euro,Germany,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,2.4348890,-17.4,"500,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Honeywell International Inc,HON,1.3000,21/02/2023,21/02/2016,XS1366026679,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,339,993,996",Investment Grade,3.9281680,131.2,"1,250,000,000",United States,Conglomerate/Diversified Mfg,A,Actual,Rating Outlook Stable,,Foreign
TDC Holding A/S,TDCAF,6.8750,22/02/2023,22/02/2011,XS0593952111,British Pound,Eurobond,Corporate,Note,Step Up / Step Down,"667,427,129",High Yield,6.4406940,255.6,"424,623,000",United Kingdom,Telecommunications,WD,Actual,,,Foreign
Goldman Sachs Group Inc,GS,4.3100,22/02/2023,22/04/2012,XS0773244966,Colombian Peso,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"3,373,925",Investment Grade,--,--,"16,000,000,000",United States,Banking,A,Actual,Rating Outlook Stable,,Foreign
Banco Santander SA,SAN,3.1250,22/02/2023,22/10/2017,US05964HAE53,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,4.9704960,35.4,"1,000,000,000",Spain,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Banco Santander SA,SAN,5.7819,22/02/2023,22/10/2017,US05964HAD70,US Dollar,United States,Corporate,Note,Fixed Margin over Index,"500,000,000",Investment Grade,5.2324970,--,"500,000,000",Spain,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Goldman Sachs Group Inc,GS,3.2000,22/02/2023,22/01/2018,US38141GWT74,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,750,000,000",Investment Grade,4.7719230,9.4,"1,750,000,000",United States,Banking,A,Actual,Rating Outlook Stable,,Foreign
Goldman Sachs Group Inc,GS,5.4419,22/02/2023,22/01/2018,US38141GWU48,US Dollar,United States,Corporate,Note,Other / Complex Floating Rate,"2,625,000,000",Investment Grade,5.1711290,--,"2,625,000,000",United States,Banking,A,Actual,Rating Outlook Stable,,Foreign
Bayerische Landesbank,BLGG,1.0500,22/02/2023,22/09/2014,DE000BLB2520,Euro,Germany,Corporate,Oeffentlicher Pfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"214,399,039",Investment Grade,2.6400580,3.3,"200,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Commerzbank AG,CBKG,0.1250,22/02/2023,22/11/2016,DE000CZ40LS3,Euro,Germany,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"1,071,995,197",Investment Grade,2.6258980,-0.7,"1,000,000,000",Germany,Banking,WD,Actual,,,Foreign
Norddeutsche Landesbank Girozentrale,NORDL,2.7170,22/02/2023,22/02/2017,DE000NLB9AC4,Euro,Germany,Corporate,Inhaberschuldverschreibung,Fixed Margin over Index,"107,199,519",Investment Grade,2.6052200,--,"100,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Logan Group Co Ltd,LOGCO,5.2500,22/02/2023,22/05/2017,XS1618597535,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"450,000,000",High Yield,"13,904.7619050",--,"450,000,000",,Home Builders,WD,Actual,,,Foreign
Kyushu Electric Power Co Inc,KYUEP,0.1800,23/02/2023,28/02/2018,JP324640AJ31,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,"75,528,700",Investment Grade,0.1340000,27.4,"10,000,000,000",Japan,Utility - Other,WD,Actual,,,Foreign
Samhallsbyggnadsbolaget I Norden AB,SBB,0.0000,23/02/2023,23/02/2020,XS2124186508,Norwegian Krone,Eurobond,Corporate,Note,Fixed Margin over Index,"39,275,755",Investment Grade,--,--,"270,000,000",Sweden,Home Builders,BBB-,Actual,Rating Outlook Positive,,Foreign
Citigroup Inc,C,5.0487,23/02/2023,23/02/2020,US17298CHZ41,US Dollar,United States,Corporate,Note,Fixed then Floating,"75,000,000",Investment Grade,--,--,"75,000,000",United States,Banking,A,Actual,Rating Outlook Stable,,Foreign
National Rural Utilities Cooperative Finance Corp,NRUC,0.2500,23/02/2023,23/02/2021,US63743HEX61,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"75,000,000",Investment Grade,5.2415160,56.8,"75,000,000",United States,Financial - Other,A,Actual,Rating Outlook Stable,,Foreign
Citigroup Global Markets Holdings Inc,CCGMH,4.3612,23/02/2023,23/01/2022,US17330AFL17,US Dollar,United States,Corporate,Note,Fixed Margin over Index,"100,000,000",Investment Grade,5.9915850,--,"100,000,000",United States,Securities,A+,Actual,Rating Outlook Stable,,Foreign
Deutsche Bank Ag (London Branch),DBKGUK,0.0000,24/02/2023,24/02/2003,XS0163253924,Slovak Koruna,Eurobond,Corporate,Note,Zero Coupon,"26,687,791",Investment Grade,85.3010870,--,"750,000,000",Germany,Banking,BBB+,Actual,Rating Outlook Positive,,Foreign
Citigroup Global Markets Holdings Inc,CCGMH,1.9250,24/02/2023,24/02/2020,XS2106756807,Hong Kong Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"57,326,301",Investment Grade,2.5268510,-49.2,"450,000,000",United States,Securities,A+,Actual,Rating Outlook Stable,,Foreign
Morgan Stanley,MS,3.7500,24/02/2023,24/02/2013,US61746BDJ26,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"2,500,000,000",Investment Grade,10.4734870,412.3,"2,500,000,000",United States,Banking,A+,Actual,Rating Outlook Stable,,Foreign
MUFG Bank Ltd,MTFGTU,3.2000,25/02/2023,25/02/2013,US064255AM44,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,5.0132710,-7.6,"500,000,000",Japan,Banking,A-,Actual,Rating Outlook Stable,,Foreign
MUFG Bank Ltd,MTFGTU,3.2000,25/02/2023,25/02/2013,USJ0423YBF00,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,5.0452500,-5.6,"500,000,000",Japan,Banking,A-,Actual,Rating Outlook Stable,,Foreign
DZ Hyp AG,DGBGEN,2.1080,26/02/2023,26/02/2018,DE000A2GSP23,Euro,Germany,Corporate,Oeffentlicher Pfandbrief (Covered Bond),Fixed Margin over Index,"107,199,519",Investment Grade,4.0731620,--,"100,000,000",Germany,Mortgage Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Far East Horizon Ltd,FEHRN,4.3750,26/02/2023,26/02/2018,XS1781818668,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"200,000,000",Investment Grade,32.6267530,"3,104.6","200,000,000",Hong Kong,Financial - Other,WD,Actual,,,Foreign
Fortum Oyj,FORTU,0.8750,26/02/2023,26/02/2019,XS1956028168,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,071,995,197",Investment Grade,5.3166050,274.5,"1,000,000,000",Finland,Utility - Other,BBB,Actual,Rating Outlook Negative,,Foreign
Westpac Banking Corp,WBC,2.8500,26/02/2023,26/02/2018,XS1770774021,Australian Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"81,699,460",Investment Grade,4.0205070,34.0,"117,300,000",Australia,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Korea Development Bank (Singapore Branch),KDBSG,4.8763,26/02/2023,25/02/2021,XS2307585062,US Dollar,Eurobond,Corporate,Note,Fixed Margin over Index,"100,000,000",Investment Grade,--,--,"100,000,000",South Korea,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Citigroup Inc,C,5.6000,26/02/2023,26/02/2013,XS0895738580,Colombian Peso,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"835,542",Investment Grade,9.6391890,-163.7,"4,000,000,000",United States,Banking,A,Actual,Rating Outlook Stable,,Foreign
Commonwealth Bank of Australia,CBA,2.0300,26/02/2023,24/02/2011,XS0594729179,Japanese Yen,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"3,052,270",Investment Grade,--,--,"400,000,000",Australia,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Engie SA,ENGIE,0.3750,27/02/2023,27/09/2017,FR0013284247,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,2.6182760,1.3,"500,000,000",France,Oil and Gas,A-,Actual,Rating Outlook Stable,,Foreign
United Overseas Bank Ltd,UOBH,3.7009,27/02/2023,27/02/2018,XS1781700742,British Pound,Eurobond,Corporate,Covered Bond (Other),Step Up-Margin over Index,"424,726,354",Investment Grade,4.4202050,--,"350,000,000",Singapore,Banking,AA-,Actual,Rating Outlook Negative,,Foreign
